"No","Phrase","ID","Title","URL","Name","PhraseYes","Contrast","Referent","ReferentCategory","Quantity","QuantType","HandsVisible","HandsMoving","HandsOccupied","WhichHand","HandShape","PinchType","PinkieCurl","PalmOrientation","MovementComplexity","MovementDirection","Comment"
6,"tiny_number","CSPAN2_20140120_063000_Book_Discussion_on_On_Constitutional_Disobedience","Book Discussion on On Constitutional Disobedience : CSPAN2 : January 20, 2014 1:30am-1:55am EST","http://archive.org/download/CSPAN2_20140120_063000_Book_Discussion_on_On_Constitutional_Disobedience/CSPAN2_20140120_063000_Book_Discussion_on_On_Constitutional_Disobedience.mp4?t=913/943&ignore=x.mp4","michael seidman","yes","no","citizens","people","0.75","proportion","yes","yes","no","left","open","NA","NA","side",NA,NA,NA
9,"tiny_number","CSPAN2_20141227_214500_Panel_Discussion_on_Corruption","Panel Discussion on Corruption : CSPAN2 : December 27, 2014 4:45pm-6:09pm EST","http://archive.org/download/CSPAN2_20141227_214500_Panel_Discussion_on_Corruption/CSPAN2_20141227_214500_Panel_Discussion_on_Corruption.mp4?t=2421/2451&ignore=x.mp4","larry lessig","yes","no","people","people","NA","NA","yes","yes","no","left","pinch","precision_grip","no","NA",NA,NA,NA
13,"tiny_number","CSPAN3_20120502_090000","CSPAN3 : May 2, 2012 5:00am-5:30am EDT","http://ia600300.us.archive.org/14/items/CSPAN3_20120502_090000/CSPAN3_20120502_090000.mp4?start=1250&end=1280&ignore=x.mp4","joan cashin","yes","no","conservative white women","people","NA","NA","yes","yes","no","right","open","NA","NA","side",NA,NA,"changed-link"
20,"tiny_number","KGO_20100915_180000_ABC_7_News_at_1100AM","ABC 7 News at 1100AM : KGO : September 15, 2010 10:00am-10:30am PST","http://ia800501.us.archive.org/21/items/KGO_20100915_180000_ABC_7_News_at_1100AM/KGO_20100915_180000_ABC_7_News_at_1100AM.mp4?start=460&end=490&ignore=x.mp4","janelle wang","yes","no","People","people","1e+07","reference","yes","yes","no","right","pinch","precision_grip","yes","NA",NA,NA,"changed-link"
24,"tiny_number","ALJAZAM_20140101_220000_Inside_Story","Inside Story : ALJAZAM : January 1, 2014 5:00pm-5:31pm EST","http://archive.org/download/ALJAZAM_20140101_220000_Inside_Story/ALJAZAM_20140101_220000_Inside_Story.mp4?t=1568/1598&ignore=x.mp4","greg koch","yes","no","Beer","other","NA","NA","yes","yes","no","left","pinch","precision_grip","yes","NA",NA,NA,NA
26,"tiny_number","WUSA_20140216_113000_McLaughlin_Group","McLaughlin Group : WUSA : February 16, 2014 6:30am-7:01am EST","http://archive.org/download/WUSA_20140216_113000_McLaughlin_Group/WUSA_20140216_113000_McLaughlin_Group.mp4?t=987/1017&ignore=x.mp4","guy taylor","yes","no","executions","life/death","NA","NA","yes","yes","no","right","pinch","precision_grip","yes","NA",NA,NA,"interesting because it's two-handed and only for the pinch one-handed"
28,"tiny_number","SFGTV_20140401_233000","SFGTV : April 1, 2014 4:30pm-5:01pm PDT","http://archive.org/download/SFGTV_20140401_233000/SFGTV_20140401_233000.mp4?t=1254/1284&ignore=x.mp4","NA","yes","yes","air pollution impact","other","1.5","percent","yes","yes","yes","right","open","NA","NA","up",NA,NA,"contracted in contrast though"
32,"tiny_number","CSPAN2_20140808_065600_Book_Discussion_on_Falling_in_Love_With_America_Again","Book Discussion on Falling in Love With America Again : CSPAN2 : August 8, 2014 2:56am-3:26am EDT","http://archive.org/download/CSPAN2_20140808_065600_Book_Discussion_on_Falling_in_Love_With_America_Again/CSPAN2_20140808_065600_Book_Discussion_on_Falling_in_Love_With_America_Again.mp4?t=878/908&ignore=x.mp4","richard wolff","yes","no","people","people","NA","NA","yes","yes","right","left","open","NA","NA","up",NA,NA,"gesture aligned with \"sit atop of\""
46,"tiny_number","WHUT_20120427_030000_Charlie_Rose","Charlie Rose : WHUT : April 26, 2012 11:00pm-12:00am EDT","http://archive.org/download/WHUT_20120427_030000_Charlie_Rose/WHUT_20120427_030000_Charlie_Rose.mp4?t=1481/1511&ignore=x.mp4","eric lui","yes","no","wealthy people ","people","NA","NA","yes","yes","no","left","open","NA","NA","down",NA,NA,"CHECK"
51,"tiny_number","WBAL_20100328_150000_The_Chris_Matthews_Show","The Chris Matthews Show : WBAL : March 28, 2010 11:00am-11:30am EDT","http://archive.org/download/WBAL_20100328_150000_The_Chris_Matthews_Show/WBAL_20100328_150000_The_Chris_Matthews_Show.mp4?t=289/319&ignore=x.mp4","kelly o'donnell","yes","no","republicans","people","NA","NA","yes","yes","no","both","pinch","CHECK","CHECK","NA",NA,NA,NA
